latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
26.18629,91.77632,60.0,19800,Asia/Kolkata,GMT+5:30

time,temperature_2m (°C),rain (mm),precipitation (mm),relative_humidity_2m (%),surface_pressure (hPa),dew_point_2m (°C),cloud_cover (%),wind_speed_10m (km/h),wind_gusts_10m (km/h),soil_moisture_0_to_1cm (m³/m³),soil_moisture_1_to_3cm (m³/m³),soil_moisture_3_to_9cm (m³/m³),soil_moisture_9_to_27cm (m³/m³),soil_moisture_27_to_81cm (m³/m³)
2026-09-07T00:00,27.1,0.20,0.20,97,1001.0,26.6,47,4.2,9.0,0.341,0.342,0.344,0.352,0.372
2026-09-07T01:00,27.0,0.00,0.00,97,1000.3,26.5,51,2.5,6.5,0.341,0.342,0.344,0.351,0.372
2026-09-07T02:00,26.7,0.00,0.00,98,999.8,26.4,34,4.7,8.3,0.341,0.341,0.344,0.351,0.372
2026-09-07T03:00,26.6,0.00,0.00,97,999.9,26.2,38,4.6,8.6,0.340,0.341,0.344,0.351,0.371
2026-09-07T04:00,26.5,0.00,0.00,98,1000.1,26.1,38,5.4,10.1,0.340,0.341,0.343,0.350,0.371
2026-09-07T05:00,27.6,0.00,0.00,88,1000.7,25.4,92,5.6,13.7,0.337,0.338,0.341,0.349,0.371
2026-09-07T06:00,28.0,0.00,0.00,86,1001.3,25.4,50,6.1,14.8,0.337,0.338,0.341,0.349,0.371
2026-09-07T07:00,28.9,0.00,0.00,82,1001.6,25.6,32,5.8,16.6,0.349,0.348,0.344,0.349,0.371
2026-09-07T08:00,29.5,0.00,0.10,80,1001.9,25.8,34,5.2,19.4,0.349,0.349,0.348,0.349,0.370
2026-09-07T09:00,30.6,0.10,0.10,76,1001.8,26.0,23,5.5,20.2,0.343,0.345,0.347,0.349,0.370
2026-09-07T10:00,31.2,0.10,0.20,73,1000.9,25.9,48,7.0,21.2,0.340,0.342,0.345,0.349,0.370
2026-09-07T11:00,32.0,0.10,0.20,68,999.7,25.4,23,8.2,23.0,0.337,0.340,0.343,0.349,0.369
2026-09-07T12:00,32.8,0.10,0.10,64,998.0,25.0,20,8.3,23.0,0.335,0.337,0.341,0.348,0.369
2026-09-07T13:00,33.0,0.00,0.00,61,996.4,24.6,14,9.2,25.2,0.334,0.336,0.339,0.347,0.369
2026-09-07T14:00,33.0,0.00,0.00,60,995.2,24.3,12,7.7,24.5,0.333,0.335,0.338,0.346,0.368
2026-09-07T15:00,32.8,0.00,0.00,60,994.8,24.1,17,7.7,20.2,0.333,0.334,0.337,0.345,0.368
2026-09-07T16:00,32.2,0.00,0.00,66,995.2,25.1,30,6.1,18.7,0.333,0.334,0.336,0.345,0.368
2026-09-07T17:00,30.8,0.00,0.00,76,996.6,26.0,50,5.8,12.2,0.333,0.334,0.336,0.344,0.367
2026-09-07T18:00,29.7,0.00,0.00,82,997.8,26.4,45,6.0,11.5,0.333,0.334,0.336,0.344,0.367
2026-09-07T19:00,27.2,0.00,1.70,92,999.6,25.9,84,13.1,23.8,0.343,0.341,0.338,0.344,0.367
2026-09-07T20:00,26.7,1.10,2.10,96,1000.4,26.1,63,7.2,25.2,0.344,0.344,0.343,0.344,0.367
2026-09-07T21:00,26.7,0.70,0.70,97,1000.3,26.1,41,3.4,13.3,0.340,0.341,0.343,0.345,0.366
2026-09-07T22:00,26.5,0.30,0.30,98,1000.2,26.2,48,5.2,10.1,0.357,0.354,0.345,0.345,0.366
2026-09-07T23:00,26.5,0.10,0.10,98,1000.0,26.1,86,4.3,9.7,0.358,0.359,0.356,0.347,0.366
2026-09-08T00:00,26.6,0.10,0.10,98,999.3,26.3,91,2.3,7.6,0.350,0.352,0.354,0.350,0.366
2026-09-08T01:00,26.7,0.00,0.00,97,999.0,26.2,79,1.2,4.3,0.348,0.350,0.352,0.351,0.366
2026-09-08T02:00,26.6,0.00,0.00,97,999.0,26.0,87,2.3,6.1,0.347,0.348,0.350,0.352,0.366
2026-09-08T03:00,26.3,0.00,0.20,93,998.8,25.2,73,4.6,11.9,0.359,0.358,0.354,0.353,0.366
2026-09-08T04:00,26.0,0.10,0.20,97,999.1,25.5,63,4.3,12.6,0.364,0.363,0.360,0.355,0.367
2026-09-08T05:00,25.8,0.10,0.10,96,999.7,25.2,63,4.8,9.7,0.365,0.367,0.366,0.358,0.367
2026-09-08T06:00,26.4,0.10,0.40,96,1000.2,25.6,100,3.5,11.5,0.358,0.359,0.363,0.361,0.367
2026-09-08T07:00,26.9,0.10,0.30,96,1000.6,26.2,100,5.4,15.8,0.355,0.356,0.360,0.362,0.368
2026-09-08T08:00,28.3,0.00,0.20,86,1001.3,25.7,98,5.2,16.9,0.352,0.354,0.357,0.363,0.368
2026-09-08T09:00,29.9,0.00,0.20,77,1001.1,25.5,100,3.7,17.3,0.356,0.356,0.355,0.362,0.369
2026-09-08T10:00,30.2,0.10,0.40,76,1000.5,25.4,100,5.0,17.6,0.356,0.357,0.358,0.362,0.369
2026-09-08T11:00,30.2,0.00,0.20,78,999.5,25.9,23,5.8,19.4,0.357,0.357,0.357,0.362,0.370
2026-09-08T12:00,31.4,0.00,0.10,74,998.1,26.3,14,3.9,19.8,0.355,0.357,0.359,0.362,0.370
2026-09-08T13:00,31.6,0.00,0.10,72,996.7,26.0,56,5.7,19.4,0.358,0.358,0.359,0.363,0.370
2026-09-08T14:00,29.6,0.00,2.60,83,995.9,26.4,85,4.8,21.2,0.351,0.353,0.357,0.363,0.371
2026-09-08T15:00,28.9,0.90,1.20,87,995.5,26.6,64,9.2,21.2,0.350,0.351,0.354,0.362,0.371
2026-09-08T16:00,28.1,0.30,0.50,88,995.6,26.0,54,7.8,20.9,0.355,0.356,0.356,0.362,0.371
2026-09-08T17:00,27.6,0.00,0.00,92,996.0,26.1,88,3.0,16.9,0.351,0.352,0.355,0.362,0.372
2026-09-08T18:00,27.2,0.00,0.00,95,997.6,26.3,90,3.8,6.8,0.350,0.351,0.354,0.361,0.372
